WIFI DATA 


Scanning: Kontor

SSID: ADpKTvsM
BSSID: b8:d9:4d:67:05:76
ResultLevel: -83
Frequency: 2412
Timestamp: 1081317360495


SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -88
Frequency: 5180
Timestamp: 1081318692565


SSID: ADpKTvsM_5GHz
BSSID: b8:d9:4d:67:05:77
ResultLevel: -92
Frequency: 5240
Timestamp: 1081319055083


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -73
Frequency: 2462
Timestamp: 1081318394088


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -65
Frequency: 5260
Timestamp: 1081319965064


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -65
Frequency: 2427
Timestamp: 1081322810664


SSID: DIRECT-reC48x Series
BSSID: 86:25:19:77:df:e2
ResultLevel: -89
Frequency: 2422
Timestamp: 1081317428110


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -70
Frequency: 2442
Timestamp: 1081317891287


SSID: 
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -71
Frequency: 2412
Timestamp: 1081317242007


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -76
Frequency: 5560
Timestamp: 1081321326941


SSID: ayh6djja_5GHz
BSSID: d8:d7:75:ed:03:9b
ResultLevel: -77
Frequency: 5560
Timestamp: 1081321327686


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -65
Frequency: 5260
Timestamp: 1081319944416


************** 

Scanning: Kontor

SSID: PrettyFlyforaWiFi
BSSID: e2:24:c8:36:d8:65
ResultLevel: -86
Frequency: 5180
Timestamp: 1081324700029


SSID: ADpKTvsM_5GHz
BSSID: b8:d9:4d:67:05:77
ResultLevel: -92
Frequency: 5240
Timestamp: 1081325017222


SSID: CableBox-0395
BSSID: d8:d7:75:ed:03:9a
ResultLevel: -75
Frequency: 2462
Timestamp: 1081324420354


SSID: HomeBox-3AE0_5G
BSSID: 44:e9:dd:92:3a:ea
ResultLevel: -91
Frequency: 5520
Timestamp: 1081327088987


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -73
Frequency: 5260
Timestamp: 1081326211883


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -57
Frequency: 2427
Timestamp: 1081328851480


SSID: DIRECT-reC48x Series
BSSID: 86:25:19:77:df:e2
ResultLevel: -84
Frequency: 2422
Timestamp: 1081323295589


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -71
Frequency: 2412
Timestamp: 1081323103431


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -72
Frequency: 2442
Timestamp: 1081323889837


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -83
Frequency: 5200
Timestamp: 1081324795110


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -74
Frequency: 5560
