WIFI DATA 


Scanning: Stue

SSID: tornebakkepigen
BSSID: 28:9e:fc:08:d3:9a
ResultLevel: -93
Frequency: 2462
Timestamp: 27195157898


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -48
Frequency: 5260
Timestamp: 27195157884


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -49
Frequency: 2427
Timestamp: 27195157866


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -63
Frequency: 2462
Timestamp: 27195157881


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -78
Frequency: 2452
Timestamp: 27195157877


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -80
Frequency: 5500
Timestamp: 27195157903


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -76
Frequency: 5260
Timestamp: 27195157889


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -80
Frequency: 5500
Timestamp: 27195157907


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -49
Frequency: 5260
Timestamp: 27195157894


SSID: 
BSSID: e2:24:c8:36:d8:5d
ResultLevel: -92
Frequency: 2432
Timestamp: 27195157871


************** 

Scanning: Stue

SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:2a
ResultLevel: -94
Frequency: 2437
Timestamp: 27197847524


SSID: tornebakkepigen
BSSID: 28:9e:fc:08:d3:9a
ResultLevel: -94
Frequency: 2462
Timestamp: 27197847546


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -49
Frequency: 5260
Timestamp: 27197847535


SSID: DetLilleHus
BSSID: f0:87:56:19:1a:11
ResultLevel: -48
Frequency: 2427
Timestamp: 27197847518


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1c
ResultLevel: -62
Frequency: 2462
Timestamp: 27197847543


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -81
Frequency: 2452
Timestamp: 27197847527


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -81
Frequency: 5500
Timestamp: 27197847549


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -77
Frequency: 5260
Timestamp: 27197847531


SSID: 
BSSID: fa:8f:ca:72:42:64
ResultLevel: -92
Frequency: 2422
Timestamp: 27197847521


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -82
Frequency: 5500
Timestamp: 27197847552


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -49
Frequency: 5260
Timestamp: 27197847539


************** 

Scanning: Stue

SSID: Waoo4920_FDKF
BSSID: 88:41:fc:c6:40:2a
ResultLevel: -96
Frequency: 2437
Timestamp: 27200567666


SSID: WifiD9B0
BSSID: 98:42:65:5c:d9:b6
ResultLevel: -95
Frequency: 2437
Timestamp: 27200567667


SSID: DetLilleHus_5G
BSSID: f0:87:56:19:1a:12
ResultLevel: -50
Frequency: 5260
